order_Quantity,customer_Name,customer_ID,order_Date,Expected_Delivery_date,delivery_Date,Actual_Delivery_Days,order_ID,order_Tailor,order_Type,Total_Amount,order_Tax,order_Discount,delivery_Type,delivery_Order_Ref,order_Delivered_Quantity,delivery_Quantity,Month,order_Tailor_Name,Expected_Delivery_Days,Tailoring_Style,size,length_cm,width_cm,sleeve_cm,fabric_meters,Price_Per_Unit,Fabric_Price_Per_Meter,Satisfaction,Dissatisfaction_Reason,Days_Difference
1,Al*,2240,2025-08-01,2025-08-08,2025-08-02,1.0,2723,001,Tailoring,350.0,45.65217391304348,0.0,Recived,2723,1,1,August,Factory                                          ,7,Saudi Classic,S,69.5,48.5,21.5,1.8,350.0,194.4444444444444,1,,1.0
5,Ab******,150,2025-08-01,2025-08-08,2025-08-18,17.0,2717,001,Tailoring,2250.0,293.4782608695652,0.0,Recived,2717,5,5,August,Factory                                          ,7,Modern Slim Fit,L,73.0,55.5,23.0,1.9,450.0,236.8421052631579,0,Major Delivery Delay (10 days),17.0
3,Ab*********,150,2025-08-01,2025-08-08,2025-08-04,3.0,2718,001,Tailoring,750.0,97.82608695652173,0.0,Recived,2718,3,3,August,Factory                                          ,7,Saudi Classic,S,70.5,48.5,21.5,1.8,250.0,138.8888888888889,1,,3.0
3,Ya***,150,2025-08-01,2025-08-08,2025-08-04,3.0,2719,001,Tailoring,900.0,117.3913043478261,0.0,Recived,2719,3,3,August,Factory                                          ,7,Modern Slim Fit,XL,73.5,55.5,22.5,1.95,300.0,153.8461538461538,1,,3.0
1,Bi***,2238,2025-08-01,2025-08-08,2025-08-11,10.0,2720,001,Tailoring,200.0,26.08695652173913,0.0,Recived,2720,1,1,August,Factory                                          ,7,Modern Slim Fit,XL,74.0,53.5,23.5,1.95,200.0,102.5641025641026,1,,10.0
1,Ra**,2239,2025-08-01,2025-08-08,2025-08-07,6.0,2721,001,Tailoring,280.0,36.52173913043478,0.0,Recived,2721,1,1,August,Factory                                          ,7,Saudi Classic,L,72.5,53.5,23.5,1.9,280.0,147.3684210526316,1,,6.0
1,Ab*********,2156,2025-08-01,2025-08-08,2025-08-13,12.0,2722,001,Tailoring,300.0,39.1304347826087,0.0,Recived,2722,1,1,August,Factory                                          ,7,Saudi Classic,XL,74.5,55.5,23.5,1.95,300.0,153.8461538461538,1,,12.0
1,Na**,2212,2025-08-02,2025-08-09,2025-08-02,0.0,2733,001,Tailoring,350.0,45.65217391304348,0.0,Recived,2733,1,0,August,Factory                                          ,7,Modern Slim Fit,M,72.0,51.5,22.5,1.85,350.0,189.1891891891892,1,,0.0
1,Fa***,7,2025-08-02,2025-08-09,2025-08-05,3.0,2725,001,Tailoring,0.0,0.0,0.0,Recived,2725,1,1,August,Factory                                          ,7,Modern Slim Fit,XXI,78.5,57.5,24.5,2.0,0.0,0.0,1,,3.0
1,Sa**,2242,2025-08-02,2025-08-09,2025-08-06,4.0,2731,001,Tailoring,400.0,52.17391304347826,0.0,Recived,2731,1,0,August,Factory                                          ,7,Saudi Classic,XL,76.5,56.0,23.0,1.95,400.0,205.1282051282051,1,,4.0
